header,class,mechanism,group,database
226|FJ196385.1|FJ196385|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
gi|452107691|gb|KC351754.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
Bla|AJ584652.2|gene3|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP,megares
gi|46370396|gb|AY589495.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
1597|HQ713678.1|HQ713678|Phenicol|Phenicol_efflux_pumps|CML,Phenicol,Phenicol efflux pumps,CML,megares
Bla|TEM-6|X57972|340-1200|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
CARD|phgb|EU250284|3557-4658|ARO:3002974|vanTrL|Glycopeptides|VanL-type_resistance_protein|VANTRL,Glycopeptides,VanL-type resistance protein,VANTRL,megares
CARD|phgb|AY154657|0-1161|ARO:3000601|Erm38|MLS|23S_rRNA_methyltransferases|ERM,MLS,23S rRNA methyltransferases,ERM,megares
Bla|OKP-A-5|AM051143|1-861|861|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP,megares
gi|728797461|emb|LN515533.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
gi|401871164|gb|JX121120.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
957|M97297.1|TRNVAN|Glycopeptides|VanA-type_resistance_protein|VANXA,Glycopeptides,VanA-type resistance protein,VANXA,megares
CARD|phgb|BX664015|103017-103833|ARO:3002641|APH3-PRIME-Ia|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME,megares
Gly|VanH-A|FJ86609|3762-4730|969|Glycopeptides|VanA-type_resistance_protein|VANHA,Glycopeptides,VanA-type resistance protein,VANHA,megares
gi|698174175|gb|KM087842.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
gi|408535166|dbj|AB753456.1|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP,megares
gi|698174167|gb|KM087838.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
Mdr|U46859.1|gene23|Multi-drug_resistance|Multi-drug_efflux_pumps|ROSA,Multi-drug resistance,Multi-drug efflux pumps,ROSA,megares
Met|nimH_1_FJ969397|Metronidazole|nim_nitroimidazole_reductase|NIMA,Metronidazole,nim nitroimidazole reductase,NIMA,megares
CARD|phgb|KF732714|0-657|ARO:3002798|QnrS9|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,Fluoroquinolones,Quinolone resistance protein Qnr,QNRS,megares
Bla|TEM-118|AY130285|1-785|785|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
1747|AB926431.1|AB926431|betalactams|Class_B_betalactamases|NDM,betalactams,Class B betalactamases,NDM,megares
956|M97297.1|TRNVAN|Glycopeptides|VanA-type_resistance_protein|VANA,Glycopeptides,VanA-type resistance protein,VANA,megares
Bla|LEN-23|AM850913|1-861|861|betalactams|Class_A_betalactamases|LEN,betalactams,Class A betalactamases,LEN,megares
AGly|AF031332.1|gene1|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,megares
Bla|SHV-85|DQ322460|16-876|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
1815|AY236073.2|AY236073|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
gi|591389161|gb|KF986263.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|OXA-118|AF371964|119-919|801|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
1374|DQ077487.1|DQ077487|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TET33,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TET33,megares
AGly|CP004067.1|gene46|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH2-DPRIME,megares
Phe|M90091.1|gene2|Phenicol|Chloramphenicol_acetyltransferases|CATA,Phenicol,Chloramphenicol acetyltransferases,CATA,megares
AGly|M23634.1|gene1|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,megares
Gly|NC_002745.1122806|Glycopeptides|Bleomycin_resistance_protein|BRP,Glycopeptides,Bleomycin resistance protein,BRP,megares
Bla|IMP-1|HM036079|114-854|741|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP,megares
Bla|cfiA9|AB087234|1-750|750|betalactams|Class_B_betalactamases|CFIA,betalactams,Class B betalactamases,CFIA,megares
Phe|PexA|HM537013|14055-25302|1248|Phenicol|Phenicol_efflux_pumps|PEXA,Phenicol,Phenicol efflux pumps,PEXA,megares
1389|FN561628.1|FN561628|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,Trimethoprim,Dihydrofolate reductase,DHFR,megares
Tet|tetS_1_DQ377340|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETS,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETS,megares
Bla|CTX-M-129|JX017364|239-1114|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
MLS|MefA|U70055|314-1531|1218|MLS|Macrolide_resistance_efflux_pumps|MEFA,MLS,Macrolide resistance efflux pumps,MEFA,megares
Bla|KPC-4_1_AY700571|betalactams|Class_A_betalactamases|KPC,betalactams,Class A betalactamases,KPC,megares
MLS|DQ195536.2|orf0|gene|MLS|Macrolide_glycosyltransferases|MGT,MLS,Macrolide glycosyltransferases,MGT,megares
Bla|GOB-1|AF090141|243-1115|873|betalactams|Class_B_betalactamases|GOB,betalactams,Class B betalactamases,GOB,megares
gi|5002311|gb|AF148850.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
950|J03306.1|PAZDHFRA|Trimethoprim|Dihydrofolate_reductase|DHFRIII|RequiresSNPConfirmation,Trimethoprim,Dihydrofolate reductase,DHFRIII,megares
Bla|CTX-M-10|AF255298|1-873|873|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
Bla|IND-12|HM245380|28-759|732|betalactams|Class_B_betalactamases|IND,betalactams,Class B betalactamases,IND,megares
182|AF118107.1|AF118107|Phenicol|Phenicol_efflux_pumps|FLOR,Phenicol,Phenicol efflux pumps,FLOR,megares
AGly|str_2_FN435330|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT6,megares
Tmt|dfrA1_2_AJ419168|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,Trimethoprim,Dihydrofolate reductase,DHFR,megares
Tmt|DfrA30|AM997279|705-1178|474|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,Trimethoprim,Dihydrofolate reductase,DHFR,megares
gi|160858187|emb|AJ866285.2|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Gly|DQ212986.1|gene7|Glycopeptides|VanG-type_accessory_protein|VANWG,Glycopeptides,VanG-type accessory protein,VANWG,megares
AGly|Aph6-Ia|AY971801|1-924|924|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH6,megares
CARD|phgb|AE004091.2|4903465-4904596|ARO:3003030|mexV|Multi-drug_resistance|Multi-drug_efflux_pumps|MEXV,Multi-drug resistance,Multi-drug efflux pumps,MEXV,megares
gi|698174189|gb|KM087849.1|betalactams|Class_C_betalactamases|DHA,betalactams,Class C betalactamases,DHA,megares
Sul|CP001581.1|gene938|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP,megares
Flq|NC_007793.3912939|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA,megares
Bla|TEM-29_1_DQ269440|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
1582|KC999080.2|KC999080|betalactams|Class_B_betalactamases|NDM,betalactams,Class B betalactamases,NDM,megares
AGly|Aac6-Iai|EU886977|544-1110|567|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,megares
Elf|NC_002951.3236433|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,Elfamycins,EF-Tu inhibition,TUFAB,megares
Bla|TEM-177|FN652295|1-861|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
CARD|phgb|NC_002156|1429-2290|ARO:3000979|TEM-116|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
gi|357933380|dbj|AB634250.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|CMY-95|JX514369|297-1483|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
Rif|AP010904.1|gene3156|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB,megares
MLS|msrA_2_AB013298|MLS|Macrolide_resistance_efflux_pumps|MSRA,MLS,Macrolide resistance efflux pumps,MSRA,megares
Bla|CTX-M-59|EU622856|6869-7744|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
gi|388564835|gb|JQ733573.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
gi|5002313|gb|AF148851.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Sul|AE000516.2|gene3902|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP,megares
Bla|NMC-A|Z21956|1221-2099|879|betalactams|Class_A_betalactamases|NMCA,betalactams,Class A betalactamases,NMCA,megares
gi|149167|gb|M88143.1|KPNBETALAC|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Bla|TEM-10_1_AF093512|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
CARD|phgb|NC_023287|65291-66509|ARO:3000615|mefA|MLS|Macrolide_resistance_efflux_pumps|MEFA,MLS,Macrolide resistance efflux pumps,MEFA,megares
gi|171705295|gb|EU419746.1|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM,megares
Bla|TEM-113|AY589494|194-1054|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Bla|AmpC2|Ecoli|CP002970|332756-333889|1134|betalactams|Class_C_betalactamases|BLAEC,betalactams,Class C betalactamases,BLAEC,megares
gi|126013667|gb|EF418608.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
Bla|FJ785626.1|gene1|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY,megares
gi|89077561|gb|DQ388882.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
gi|191174821|emb|AM931008.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
gi|4760642|dbj|AB010417.1|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP,megares
Flq|NC_011586.7046300|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC,megares
1209|GQ202693.1|GQ202693|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,megares
gi|28912444|gb|AY210887.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Flq|QnrB4|DQ303921|4-648|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB,megares
MLS|VatE|AF139725|63-707|645|MLS|Streptogramin_A_O-acetyltransferase|VATE,MLS,Streptogramin A O-acetyltransferase,VATE,megares
Mdr|NC_002516.2.880450|Multi-drug_resistance|Multi-drug_efflux_pumps|MEXH,Multi-drug resistance,Multi-drug efflux pumps,MEXH,megares
Bla|OKP-A-10|AM051149|1-861|861|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP,megares
Bla|AJ634602|gene|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
CARD|phgb|AE004091.2|2503424-2503895|ARO:3000836|soxR|Multi-drug_resistance|MDR_regulator|SOXS|RequiresSNPConfirmation,Multi-drug resistance,MDR regulator,SOXS,megares
AGly|AF047479.2|gene10|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,megares
CARD|phgb|AM403715|302-854|ARO:3002857|dfrA26|Trimethoprim|Dihydrofolate_reductase|DFRA,Trimethoprim,Dihydrofolate reductase,DFRA,megares
gi|345128596|gb|HQ875573.1|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP,megares
gi|591542892|gb|KJ207205.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
976|DQ018711.1|DQ018711|Glycopeptides|VanA-type_resistance_protein|VANA,Glycopeptides,VanA-type resistance protein,VANA,megares
807|K00544.1|BACCAT86|Phenicol|Chloramphenicol_acetyltransferases|CATA,Phenicol,Chloramphenicol acetyltransferases,CATA,megares
Bla|SHV-135|HQ637576|1-861|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Elf|CP004022.1|gene2801|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,Elfamycins,EF-Tu inhibition,TUFAB,megares
gi|160948456|emb|AM176556.2|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
AGly|Aac6-31|AJ640197|2474-2992|519|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,megares
Bla|CEPA-44|U05885|556-1458|903|betalactams|Class_A_betalactamases|CEPA,betalactams,Class A betalactamases,CEPA,megares
CARD|phgb|JX042489|141-1002|ARO:3000890|TEM-19|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
CARD|pvgb|NC_003197|4503969-4504293|ARO:3003383|Salmonella|Multi-drug_resistance|MDR_regulator|SOXS|RequiresSNPConfirmation,Multi-drug resistance,MDR regulator,SOXS,megares
Phe|NC_002096.2598307|Phenicol|Chloramphenicol_acetyltransferases|CATA,Phenicol,Chloramphenicol acetyltransferases,CATA,megares
gi|225219825|gb|FJ790516.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
gi|11096455|gb|AF219135.2|betalactams|Class_B_betalactamases|IND,betalactams,Class B betalactamases,IND,megares
gi|39932884|gb|AY445080.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
gi|58701169|gb|AY750908.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|HERA-5|AJ536089|1-873|873|betalactams|Class_A_betalactamases|HERA,betalactams,Class A betalactamases,HERA,megares
Bla|SHV-145|JX013655|1-861|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
gi|396586112|gb|JX013656.1|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM,megares
Flq|QnrB23|FJ981622|37-681|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB,megares
gi|56554764|gb|AY847144.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
Flq|NC_008702.1.4606680|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA,megares
1267|AB976602.1|AB976602|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
CARD|phgb|EU408346|4825-5713|ARO:3002482|LRA-1|betalactams|Class_B_betalactamases|LRA,betalactams,Class B betalactamases,LRA,megares
Bla|OKP-B-16|AM850918|25-885|861|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP,megares
gi|23505685|gb|AY130284.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
gi|537430798|gb|KF057029.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|NC_002516.2.877990|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|IND2a|AF219130|1-732|732|betalactams|Class_B_betalactamases|IND,betalactams,Class B betalactamases,IND,megares
Tmt|Dfr22|AJ628423|325-822|498|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,Trimethoprim,Dihydrofolate reductase,DHFR,megares
gi|597709737|emb|HG934763.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Bla|SHV-121|AB538449|1-861|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
CARD|phgb|AJ620678|0-753|ARO:3000845|GIM-1|betalactams|Class_B_betalactamases|GIM,betalactams,Class B betalactamases,GIM,megares
1189|AJ243491.1|AJ243491|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP,megares
ACou|NC_002952.2859942|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE,megares
1081|AF294653.1|AF294653|Phenicol|Phenicol_efflux_pumps|CML,Phenicol,Phenicol efflux pumps,CML,megares
CARD|phgb|AL123456|1853605-1854388|ARO:3003060|tsnr|Thiostrepton|Thiostrepton_23S_rRNA_methyltransferases|TSNR,Thiostrepton,Thiostrepton 23S rRNA methyltransferases,TSNR,megares
Sul|sul1_7_FJ715937|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI,megares
CARD|phgb|AY047358|1710-2352|ARO:3003552|fusB|Fusidic_acid|Ribosomal_zinc-binding_protein|FUSB,Fusidic acid,Ribosomal zinc-binding protein,FUSB,megares
Bla|TEM-205_1_KC900516|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Bla|OKP-B-1|AJ635402|1-861|861|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP,megares
Bla|IND-2|EF394439|1-732|732|betalactams|Class_B_betalactamases|IND,betalactams,Class B betalactamases,IND,megares
Bla|SHV-1_17_FJ668799|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Flq|QnrB40|JN166689|1-660|660|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB,megares
gi|530776686|emb|HG423149.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
gi|15705412|gb|AF395881.1|betalactams|Class_A_betalactamases|KPC,betalactams,Class A betalactamases,KPC,megares
CARD|phgb|DQ212986|5984-7034|ARO:3002909|vanG|Glycopeptides|VanG-type_resistance_protein|VANG,Glycopeptides,VanG-type resistance protein,VANG,megares
940|AF028812.1|AF028812|Trimethoprim|Dihydrofolate_reductase|DFRF,Trimethoprim,Dihydrofolate reductase,DFRF,megares
CARD|phgb|AB709942|1194-1749|ARO:3003677|AAC6-PRIME-Iaj|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,megares
Tet|tetG_1_AJ276217|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETG,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETG,megares
Bla|LEN24_1_AM850914|betalactams|Class_A_betalactamases|LEN,betalactams,Class A betalactamases,LEN,megares
Gly|VanHA-Bc|Y15704|23-1054|1032|Glycopeptides|VanA-type_resistance_protein|VANA,Glycopeptides,VanA-type resistance protein,VANA,megares
CARD|pvgb|NC_002952|7004-9665|ARO:3003296|Staphylococcus|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA,megares
1074|FJ854362.1|FJ854362|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,megares
Bla|CTX-M-33|AY238472|13-888|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
